subjID	type	choice	reward
2	56	0	0
2	56	0	0
2	56	0	0
2	34	0	0
2	34	1	1
2	56	1	1
2	56	1	1
2	12	0	1
2	56	1	0
2	34	1	0
2	56	1	0
2	56	0	1
2	12	0	0
2	34	1	1
2	56	1	1
2	56	0	0
2	12	0	0
2	34	0	0
2	56	1	0
2	56	1	1
2	56	0	1
2	56	0	1
2	12	0	0
2	56	1	0
2	34	0	0
